DataSet veri776 loaded
  subset   | # ids | # images
  ---------------------------
  train    | 'Unknown' |    49357
  query    |   200 |     1678
  gallery  |   200 |    11579
Average samples per identity: 63.670
Epoch: [0][1/386], Time 53.363 (53.363), Data 50.396 (50.396), Loss 1.400 (1.400)
Epoch: [0][2/386], Time 0.432 (26.898), Data 0.039 (25.218), Loss 1.410 (1.405)
Epoch: [0][3/386], Time 0.624 (18.140), Data 0.212 (16.883), Loss 1.419 (1.410)
Epoch: [0][4/386], Time 0.600 (13.755), Data 0.207 (12.714), Loss 1.429 (1.415)
Epoch: [0][5/386], Time 0.611 (11.126), Data 0.218 (10.214), Loss 1.438 (1.419)
Epoch: [0][6/386], Time 0.608 (9.373), Data 0.214 (8.548), Loss 1.449 (1.424)
Epoch: [0][7/386], Time 0.600 (8.120), Data 0.207 (7.356), Loss 1.458 (1.429)
Epoch: [0][8/386], Time 0.613 (7.182), Data 0.213 (6.463), Loss 1.469 (1.434)
Epoch: [0][9/386], Time 0.601 (6.450), Data 0.208 (5.768), Loss 1.477 (1.439)
Epoch: [0][10/386], Time 0.608 (5.866), Data 0.215 (5.213), Loss 1.486 (1.444)
Epoch: [0][11/386], Time 0.616 (5.389), Data 0.220 (4.759), Loss 1.494 (1.448)
Epoch: [0][12/386], Time 0.601 (4.990), Data 0.208 (4.380), Loss 1.501 (1.452)
Epoch: [0][13/386], Time 0.611 (4.653), Data 0.210 (4.059), Loss 1.506 (1.457)
Epoch: [0][14/386], Time 0.601 (4.364), Data 0.207 (3.784), Loss 1.511 (1.460)
Epoch: [0][15/386], Time 0.614 (4.114), Data 0.221 (3.546), Loss 1.516 (1.464)
Epoch: [0][16/386], Time 0.612 (3.895), Data 0.211 (3.338), Loss 1.520 (1.468)
Epoch: [0][17/386], Time 0.604 (3.701), Data 0.211 (3.154), Loss 1.524 (1.471)
Epoch: [0][18/386], Time 0.613 (3.530), Data 0.212 (2.991), Loss 1.526 (1.474)
Epoch: [0][19/386], Time 0.600 (3.375), Data 0.207 (2.844), Loss 1.528 (1.477)
Epoch: [0][20/386], Time 0.616 (3.237), Data 0.223 (2.713), Loss 1.532 (1.480)
Epoch: [0][21/386], Time 0.612 (3.112), Data 0.210 (2.594), Loss 1.534 (1.482)
Epoch: [0][22/386], Time 0.603 (2.998), Data 0.209 (2.485), Loss 1.536 (1.485)
Epoch: [0][23/386], Time 0.609 (2.894), Data 0.210 (2.386), Loss 1.539 (1.487)
Epoch: [0][24/386], Time 0.598 (2.799), Data 0.206 (2.296), Loss 1.541 (1.489)
Epoch: [0][25/386], Time 0.615 (2.711), Data 0.222 (2.213), Loss 1.543 (1.491)
